partID,age,participant side,trial_num,trial_name,response_29Left_16_right
A112,19,R,9,100_should_could2.jpg,29
A112,19,R,10,20_can_could2.jpg,16
A112,19,R,11,100_should_will2.jpg,16
A112,19,R,12,80_could_should2.jpg,16
A112,19,R,13,20_could_can2.jpg,29
A112,19,R,14,80_could_will.jpg,29
A112,19,R,15,100_could_will2.jpg,16
A112,19,R,16,20_could_will2.jpg,29
A112,19,R,17,20_could_should2.jpg,29
A112,19,R,18,100_could_should2.jpg,16
A113,20,L,1,100_will_should2.jpg,29
A113,20,L,2,80_will_could2.jpg,16
A113,20,L,3,20_will_could2.jpg,16
A113,20,L,4,100_will_could2.jpg,29
A113,20,L,5,20_should_could2.jpg,16
A113,20,L,6,100_could_will2.jpg,16
A113,20,L,7,80_will_should2.jpg,16
A113,20,L,8,100_could_should2.jpg,16
A113,20,L,9,80_should_will2.jpg,29
A113,20,L,10,100_should_will2.jpg,16
A113,20,L,11,20_could_will2.jpg,29
A113,20,L,12,20_could_can2.jpg,16
A113,20,L,13,80_should_could2.jpg,16
A113,20,L,14,20_can_could2.jpg,29
A113,20,L,15,100_should_could2.jpg,29
A113,20,L,16,20_could_should2.jpg,29
A113,20,L,17,80_could_will.jpg,29
A113,20,L,18,80_could_should2.jpg,16
A114,21,R,1,80_should_could2.jpg,16
A114,21,R,2,20_could_should2.jpg,29
A114,21,R,3,20_will_could2.jpg,16
A114,21,R,4,80_could_will.jpg,29
A114,21,R,5,20_could_will2.jpg,29
A114,21,R,6,100_could_will2.jpg,16
A114,21,R,7,80_should_will2.jpg,29
A114,21,R,8,80_could_should2.jpg,16
A114,21,R,9,20_could_can2.jpg,29
A114,21,R,10,100_should_could2.jpg,29
A114,21,R,11,100_will_should2.jpg,29
A114,21,R,12,100_will_could2.jpg,29
A114,21,R,13,20_can_could2.jpg,16
A114,21,R,14,80_will_could2.jpg,16
A114,21,R,15,100_could_should2.jpg,16
A114,21,R,16,80_will_should2.jpg,16
A114,21,R,17,100_should_will2.jpg,16
A114,21,R,18,20_should_could2.jpg,16
A115,21,L,1,100_should_will2.jpg,16
A115,21,L,2,20_should_could2.jpg,16
A115,21,L,3,80_could_will.jpg,29
A115,21,L,4,20_could_can2.jpg,16
A115,21,L,5,80_could_should2.jpg,29
A115,21,L,6,100_will_could2.jpg,29
A115,21,L,7,20_could_will2.jpg,29
A115,21,L,8,80_will_could2.jpg,16
A115,21,L,9,100_could_should2.jpg,16
A115,21,L,10,20_could_should2.jpg,29
A115,21,L,11,80_should_will2.jpg,29
A115,21,L,12,80_will_should2.jpg,16
A115,21,L,13,100_could_will2.jpg,16
A115,21,L,14,80_should_could2.jpg,29
A115,21,L,15,20_can_could2.jpg,16
A115,21,L,16,20_will_could2.jpg,16
A115,21,L,17,100_will_should2.jpg,29
A115,21,L,18,100_should_could2.jpg,29
A116,20,R,1,80_should_could2.jpg,16
A116,20,R,2,80_could_should2.jpg,29
A116,20,R,3,20_should_could2.jpg,16
A116,20,R,4,100_should_could2.jpg,29
A116,20,R,5,100_could_should2.jpg,16
A116,20,R,6,20_could_will2.jpg,29
A116,20,R,7,20_could_should2.jpg,29
A116,20,R,8,100_should_will2.jpg,16
A116,20,R,9,80_should_will2.jpg,29
A116,20,R,10,100_will_could2.jpg,29
A116,20,R,11,20_can_could2.jpg,29
A116,20,R,12,20_could_can2.jpg,16
A116,20,R,13,100_could_will2.jpg,16
A116,20,R,14,80_will_should2.jpg,16
A116,20,R,15,20_will_could2.jpg,16
A116,20,R,16,80_will_could2.jpg,16
A116,20,R,17,100_will_should2.jpg,29
A116,20,R,18,80_could_will.jpg,29
A117,19,L,1,100_could_will2.jpg,16
A117,19,L,2,100_will_should2.jpg,29
A117,19,L,3,20_will_could2.jpg,16
A117,19,L,4,100_will_could2.jpg,29
A117,19,L,5,20_could_can2.jpg,29
A117,19,L,6,20_can_could2.jpg,29
A117,19,L,7,80_should_will2.jpg,29
A117,19,L,8,20_could_will2.jpg,29
A117,19,L,9,100_should_will2.jpg,16
A117,19,L,10,80_could_will.jpg,29
A117,19,L,11,20_should_could2.jpg,16
A117,19,L,12,80_will_should2.jpg,16
A117,19,L,13,20_could_should2.jpg,29
A117,19,L,14,100_should_could2.jpg,29
A117,19,L,15,80_will_could2.jpg,16
A117,19,L,16,80_could_should2.jpg,16
A117,19,L,17,100_could_should2.jpg,16
A117,19,L,18,80_should_could2.jpg,29
A118,20,L,1,100_should_will2.jpg,16
A118,20,L,2,100_will_could2.jpg,29
A118,20,L,3,100_will_should2.jpg,29
A118,20,L,4,80_should_could2.jpg,29
A118,20,L,5,100_should_could2.jpg,29
A118,20,L,6,80_could_should2.jpg,16
A118,20,L,7,100_could_should2.jpg,16
A118,20,L,8,100_could_will2.jpg,16
A118,20,L,9,20_could_can2.jpg,16
A118,20,L,10,80_will_should2.jpg,16
A118,20,L,11,20_can_could2.jpg,29
A118,20,L,12,20_will_could2.jpg,16
A118,20,L,13,20_could_will2.jpg,29
A118,20,L,14,20_could_should2.jpg,29
A118,20,L,15,80_should_will2.jpg,29
A118,20,L,16,20_should_could2.jpg,16
A118,20,L,17,80_could_will.jpg,29
A118,20,L,18,80_will_could2.jpg,16
A119,20,R,1,100_should_could2.jpg,29
A119,20,R,2,80_should_could2.jpg,29
A119,20,R,3,80_will_could2.jpg,16
A119,20,R,4,100_will_could2.jpg,29
A119,20,R,5,20_should_could2.jpg,16
A119,20,R,6,20_could_can2.jpg,29
A119,20,R,7,100_should_will2.jpg,16
A119,20,R,8,20_can_could2.jpg,16
A119,20,R,9,100_could_will2.jpg,16
A119,20,R,10,20_could_should2.jpg,29
A119,20,R,11,80_should_will2.jpg,29
A119,20,R,12,80_could_should2.jpg,16
A119,20,R,13,100_could_should2.jpg,16
A119,20,R,14,80_could_will.jpg,29
A119,20,R,15,80_will_should2.jpg,16
A119,20,R,16,100_will_should2.jpg,29
A119,20,R,17,20_will_could2.jpg,16
A119,20,R,18,20_could_will2.jpg,29
A120,21,L,1,100_could_will2.jpg,16
A120,21,L,2,20_can_could2.jpg,16
A120,21,L,3,80_will_could2.jpg,16
A120,21,L,4,100_should_will2.jpg,16
A120,21,L,5,100_will_should2.jpg,29
A120,21,L,6,100_should_could2.jpg,29
A120,21,L,7,80_could_should2.jpg,16
A120,21,L,8,80_will_should2.jpg,16
A120,21,L,9,80_should_will2.jpg,29
