partID,age,participant side,trial_num,trial_name,response_29Left_16_right,
113,4.071232877,R,2,80_could_will.jpg,16,4
113,4.071232877,R,3,80_will_should2.jpg,29,4
113,4.071232877,R,4,20_should_could2.jpg,29,4
113,4.071232877,R,5,20_can_could2.jpg,29,4
113,4.071232877,R,6,20_will_could2.jpg,16,4
113,4.071232877,R,7,100_should_could2.jpg,16,4
113,4.071232877,R,8,20_could_can2.jpg,29,4
113,4.071232877,R,9,100_could_will2.jpg,29,4
113,4.071232877,R,10,80_could_should2.jpg,29,4
113,4.071232877,R,11,100_will_could2.jpg,16,4
113,4.071232877,R,12,100_will_should2.jpg,29,4
113,4.071232877,R,13,100_should_will2.jpg,16,4
113,4.071232877,R,14,100_could_should2.jpg,16,4
113,4.071232877,R,15,80_should_will2.jpg,16,4
113,4.071232877,R,16,20_could_will2.jpg,16,4
113,4.071232877,R,17,20_could_should2.jpg,16,4
113,4.071232877,R,18,80_should_could2.jpg,16,4
114,5.591780822,L,1,20_should_could2.jpg,16,5
114,5.591780822,L,2,20_could_should2.jpg,29,5
114,5.591780822,L,3,20_could_can2.jpg,29,5
114,5.591780822,L,4,100_should_will2.jpg,16,5
114,5.591780822,L,5,20_will_could2.jpg,29,5
114,5.591780822,L,6,100_should_could2.jpg,16,5
114,5.591780822,L,7,20_could_will2.jpg,29,5
114,5.591780822,L,8,20_can_could2.jpg,29,5
114,5.591780822,L,9,100_will_could2.jpg,29,5
114,5.591780822,L,10,100_could_should2.jpg,16,5
114,5.591780822,L,11,80_could_should2.jpg,29,5
114,5.591780822,L,12,80_could_will.jpg,16,5
114,5.591780822,L,13,80_will_should2.jpg,16,5
114,5.591780822,L,14,100_could_will2.jpg,29,5
114,5.591780822,L,15,100_will_should2.jpg,29,5
114,5.591780822,L,16,80_will_could2.jpg,16,5
114,5.591780822,L,17,80_should_could2.jpg,29,5
114,5.591780822,L,18,80_should_will2.jpg,29,5
115,5.594520548,R,1,100_should_will2.jpg,29,5
115,5.594520548,R,2,20_will_could2.jpg,29,5
115,5.594520548,R,3,20_can_could2.jpg,29,5
115,5.594520548,R,4,20_could_will2.jpg,16,5
115,5.594520548,R,5,20_could_should2.jpg,16,5
115,5.594520548,R,6,80_could_should2.jpg,16,5
115,5.594520548,R,7,100_should_could2.jpg,29,5
115,5.594520548,R,8,80_will_could2.jpg,16,5
115,5.594520548,R,9,100_could_will2.jpg,16,5
115,5.594520548,R,10,80_should_could2.jpg,29,5
115,5.594520548,R,11,80_should_will2.jpg,16,5
115,5.594520548,R,12,20_should_could2.jpg,29,5
115,5.594520548,R,13,100_will_could2.jpg,29,5
115,5.594520548,R,14,20_could_can2.jpg,16,5
115,5.594520548,R,15,80_could_will.jpg,29,5
115,5.594520548,R,16,100_could_should2.jpg,16,5
115,5.594520548,R,17,100_will_should2.jpg,29,5
115,5.594520548,R,18,80_will_should2.jpg,16,5
116,4.134246575,R,1,20_can_could2.jpg,16,4
116,4.134246575,R,2,80_could_will.jpg,16,4
116,4.134246575,R,3,100_will_could2.jpg,29,4
116,4.134246575,R,4,100_should_will2.jpg,16,4
116,4.134246575,R,5,100_will_should2.jpg,29,4
116,4.134246575,R,6,80_will_should2.jpg,29,4
116,4.134246575,R,7,20_could_can2.jpg,29,4
116,4.134246575,R,8,100_should_could2.jpg,29,4
116,4.134246575,R,9,20_will_could2.jpg,16,4
116,4.134246575,R,10,20_could_will2.jpg,29,4
116,4.134246575,R,11,80_could_should2.jpg,16,4
116,4.134246575,R,12,80_should_could2.jpg,29,4
116,4.134246575,R,13,80_will_could2.jpg,29,4
116,4.134246575,R,14,80_should_will2.jpg,29,4
116,4.134246575,R,15,100_could_will2.jpg,16,4
116,4.134246575,R,16,20_should_could2.jpg,29,4
116,4.134246575,R,17,20_could_should2.jpg,16,4
116,4.134246575,R,18,100_could_should2.jpg,16,4
117,4.649315068,R,1,20_should_could2.jpg,29,4
117,4.649315068,R,2,20_could_can2.jpg,16,4
117,4.649315068,R,3,100_should_could2.jpg,16,4
117,4.649315068,R,4,100_will_could2.jpg,16,4
117,4.649315068,R,5,100_could_should2.jpg,16,4
117,4.649315068,R,6,20_can_could2.jpg,16,4
117,4.649315068,R,7,20_could_will2.jpg,29,4
117,4.649315068,R,8,80_could_should2.jpg,16,4
117,4.649315068,R,9,80_should_could2.jpg,16,4
117,4.649315068,R,10,100_should_will2.jpg,29,4
117,4.649315068,R,11,80_should_will2.jpg,29,4
117,4.649315068,R,12,80_will_could2.jpg,16,4
117,4.649315068,R,13,100_could_will2.jpg,29,4
117,4.649315068,R,14,80_could_will.jpg,29,4
117,4.649315068,R,15,80_will_should2.jpg,16,4
117,4.649315068,R,16,20_will_could2.jpg,29,4
117,4.649315068,R,17,100_will_should2.jpg,16,4
117,4.649315068,R,18,20_could_should2.jpg,16,4
118,5.909589041,R,1,20_should_could2.jpg,16,5
118,5.909589041,R,2,80_could_will.jpg,16,5
118,5.909589041,R,3,100_will_should2.jpg,29,5
118,5.909589041,R,4,100_could_should2.jpg,16,5
118,5.909589041,R,5,100_should_will2.jpg,16,5
118,5.909589041,R,6,80_will_could2.jpg,16,5
118,5.909589041,R,7,80_should_will2.jpg,29,5
118,5.909589041,R,8,20_can_could2.jpg,16,5
118,5.909589041,R,9,20_could_should2.jpg,29,5
118,5.909589041,R,10,20_could_can2.jpg,16,5
118,5.909589041,R,11,100_could_will2.jpg,16,5
118,5.909589041,R,12,80_will_should2.jpg,16,5
118,5.909589041,R,13,80_could_should2.jpg,29,5
118,5.909589041,R,14,20_could_will2.jpg,29,5
118,5.909589041,R,15,80_should_could2.jpg,16,5
118,5.909589041,R,16,100_will_could2.jpg,29,5
118,5.909589041,R,17,100_should_could2.jpg,16,5
118,5.909589041,R,18,20_will_could2.jpg,16,5
119,5.087671233,R,1,20_can_could2.jpg,16,5
119,5.087671233,R,2,100_could_will2.jpg,16,5
119,5.087671233,R,3,80_will_should2.jpg,16,5
119,5.087671233,R,4,80_could_will.jpg,29,5
119,5.087671233,R,5,20_should_could2.jpg,16,5
119,5.087671233,R,6,100_will_should2.jpg,16,5
119,5.087671233,R,7,80_should_could2.jpg,16,5
119,5.087671233,R,8,20_could_will2.jpg,29,5
119,5.087671233,R,9,20_could_can2.jpg,16,5
119,5.087671233,R,10,100_will_could2.jpg,16,5
119,5.087671233,R,11,100_could_should2.jpg,16,5
119,5.087671233,R,12,100_should_will2.jpg,29,5
